iter	Passed	Remaining
0	54	54591
1	56	27963
2	57	19044
3	58	14586
4	59	11922
5	61	10196
6	62	8935
7	64	7989
8	65	7163
9	65	6495
10	66	5959
11	67	5516
12	67	5146
13	68	4822
14	69	4544
15	69	4299
16	70	4090
17	71	3903
18	72	3735
19	73	3582
20	73	3442
21	74	3312
22	75	3193
23	75	3086
24	76	2984
25	77	2892
26	77	2808
27	78	2735
28	79	2668
29	80	2597
30	81	2533
31	81	2471
32	82	2413
33	83	2359
34	83	2310
35	84	2262
36	85	2217
37	85	2176
38	86	2134
39	87	2093
40	88	2060
41	88	2024
42	89	1990
43	90	1958
44	90	1927
45	91	1905
46	92	1875
47	93	1849
48	93	1823
49	94	1797
50	95	1782
51	96	1759
52	97	1739
53	97	1716
54	98	1695
55	99	1675
56	100	1658
57	101	1641
58	101	1623
59	102	1606
60	103	1590
61	104	1574
62	104	1557
63	105	1541
64	106	1531
65	107	1515
66	107	1500
67	108	1487
68	109	1472
69	109	1458
70	110	1445
71	111	1437
72	112	1428
73	113	1416
74	113	1405
75	114	1393
76	115	1382
77	115	1370
78	116	1359
79	117	1348
80	117	1336
81	118	1326
82	119	1316
83	120	1309
84	120	1300
85	121	1290
86	122	1280
87	122	1271
88	123	1262
89	124	1253
90	124	1245
91	125	1237
92	126	1229
93	126	1221
94	127	1212
95	127	1204
96	128	1196
97	129	1189
98	129	1181
99	130	1174
100	131	1167
101	132	1162
102	132	1155
103	133	1148
104	134	1143
105	134	1136
106	135	1130
107	136	1124
108	136	1117
109	137	1110
110	137	1104
111	138	1098
112	139	1096
113	140	1091
114	141	1086
115	142	1082
116	142	1078
117	143	1073
118	144	1069
119	145	1065
120	145	1060
121	146	1054
122	147	1049
123	148	1047
124	149	1043
125	149	1038
126	150	1033
127	150	1028
128	151	1025
129	152	1021
130	153	1016
131	153	1012
132	154	1008
133	155	1004
134	156	1000
135	156	996
136	157	994
137	158	990
138	159	985
139	159	981
140	160	977
141	161	973
142	161	969
143	162	965
144	163	962
145	163	957
146	164	955
147	165	951
148	165	947
149	166	944
150	167	942
151	168	940
152	169	936
153	169	932
154	170	927
155	170	923
156	171	919
157	172	916
158	172	913
159	173	910
160	173	906
161	174	904
162	175	901
163	176	898
164	176	895
165	177	892
166	178	889
167	178	884
168	179	881
169	180	879
170	181	877
171	181	875
172	182	872
173	183	869
174	183	865
175	184	863
176	185	861
177	186	859
178	186	857
179	187	854
180	188	852
181	189	849
182	189	847
183	190	845
184	191	843
185	192	841
186	193	839
187	194	839
188	195	839
189	196	837
190	197	834
191	197	831
192	198	829
193	199	826
194	199	824
195	200	821
196	201	819
197	201	816
198	202	814
199	203	812
200	203	809
201	204	807
202	205	805
203	205	803
204	206	801
205	207	798
206	208	796
207	208	795
208	209	792
209	210	790
210	211	789
211	211	786
212	212	784
213	212	782
214	213	780
215	214	778
216	215	776
217	215	774
218	216	772
219	217	770
220	218	768
221	218	766
222	219	765
223	220	763
224	221	761
225	221	759
226	222	758
227	223	756
228	224	755
229	225	755
230	226	754
231	227	753
232	228	751
233	229	750
234	230	749
235	231	748
236	231	746
237	232	744
238	233	742
239	234	741
240	234	739
241	235	737
242	236	735
243	237	734
244	237	733
245	239	732
246	239	731
247	241	731
248	241	729
249	243	730
250	244	729
251	245	727
252	245	726
253	246	724
254	247	723
255	248	722
256	249	720
257	249	718
258	250	717
259	251	715
260	252	713
261	252	711
262	253	711
263	254	709
264	255	708
265	256	706
266	257	705
267	257	704
268	258	703
269	259	701
270	260	700
271	261	698
272	262	698
273	262	696
274	263	695
275	264	693
276	265	692
277	266	692
278	268	692
279	269	692
280	270	692
281	271	691
282	272	691
283	273	689
284	274	688
285	275	687
286	276	686
287	276	684
288	277	682
289	278	681
290	278	679
291	279	677
292	280	675
293	280	674
294	281	673
295	282	671
296	283	670
297	283	668
298	284	666
299	285	665
300	285	663
301	286	661
302	287	660
303	287	658
304	288	657
305	289	655
306	290	654
307	290	653
308	291	652
309	292	650
310	292	649
311	294	648
312	294	647
313	295	645
314	296	644
315	296	642
316	297	640
317	298	639
318	299	639
319	300	637
320	301	636
321	301	635
322	302	634
323	304	634
324	305	633
325	305	632
326	306	630
327	307	629
328	307	627
329	308	626
330	309	626
331	310	624
332	311	623
333	311	621
334	312	620
335	313	618
336	313	617
337	314	615
338	315	614
339	316	614
340	317	612
341	317	611
342	318	609
343	319	608
344	320	607
345	320	606
346	321	604
347	322	603
348	323	602
349	323	601
350	324	600
351	325	598
352	326	598
353	327	597
354	328	596
355	329	596
356	330	595
357	331	593
358	331	592
359	332	591
360	333	589
361	333	588
362	334	587
363	335	585
364	335	584
365	336	583
366	337	581
367	338	580
368	338	579
369	339	577
370	340	576
371	340	575
372	341	573
373	341	572
374	342	571
375	343	569
376	344	568
377	344	567
378	345	565
379	346	564
380	346	563
381	347	562
382	348	560
383	348	559
384	349	558
385	350	557
386	350	555
387	351	554
388	352	553
389	353	552
390	353	551
391	354	549
392	355	548
393	355	547
394	356	545
395	357	544
396	357	543
397	358	542
398	359	540
399	359	539
400	360	538
401	361	537
402	362	536
403	362	535
404	363	534
405	364	533
406	365	532
407	365	531
408	366	529
409	367	528
410	367	527
411	368	526
412	369	524
413	370	523
414	370	522
415	371	521
416	371	519
417	372	518
418	373	517
419	374	516
420	374	515
421	375	514
422	376	514
423	377	513
424	378	512
425	379	510
426	379	509
427	380	508
428	380	507
429	381	505
430	382	504
431	382	503
432	383	502
433	384	500
434	384	499
435	385	498
436	386	497
437	386	496
438	387	494
439	387	493
440	388	492
441	389	491
442	389	490
443	390	489
444	391	488
445	392	487
446	392	486
447	393	484
448	394	483
449	394	482
450	395	481
451	396	480
452	396	478
453	397	477
454	397	476
455	399	476
456	400	476
457	401	475
458	402	474
459	403	473
460	403	472
461	404	471
462	405	470
463	406	469
464	407	468
465	407	467
466	408	466
467	409	465
468	409	464
469	410	462
470	411	461
471	412	460
472	413	460
473	414	459
474	414	458
475	415	457
476	416	456
477	416	455
478	418	454
479	419	454
480	420	453
481	421	452
482	421	451
483	422	450
484	423	449
485	424	448
486	425	447
487	425	446
488	426	445
489	427	444
490	428	443
491	428	442
492	429	441
493	430	440
494	430	439
495	431	438
496	432	437
497	432	436
498	433	435
499	434	434
500	435	433
501	436	432
502	436	431
503	437	430
504	438	429
505	438	428
506	439	427
507	440	426
508	440	425
509	441	424
510	442	423
511	442	422
512	444	421
513	444	420
514	445	419
515	445	418
516	446	417
517	447	416
518	448	415
519	449	414
520	450	413
521	450	412
522	451	411
523	452	410
524	452	409
525	453	408
526	454	407
527	454	406
528	455	405
529	455	404
530	456	403
531	457	402
532	458	401
533	458	400
534	459	399
535	460	398
536	460	397
537	461	396
538	462	395
539	462	394
540	463	393
541	464	392
542	464	391
543	465	390
544	466	389
545	467	388
546	467	387
547	468	386
548	469	385
549	470	384
550	470	383
551	471	382
552	472	381
553	472	380
554	473	379
555	474	378
556	475	378
557	476	377
558	477	376
559	478	375
560	478	374
561	479	373
562	480	372
563	480	371
564	481	370
565	482	369
566	483	369
567	483	368
568	484	367
569	485	366
570	486	365
571	486	364
572	487	363
573	488	362
574	488	361
575	489	360
576	490	359
577	491	358
578	492	357
579	492	356
580	493	356
581	494	355
582	495	354
583	495	353
584	496	352
585	497	351
586	498	350
587	498	349
588	499	348
589	500	347
590	501	346
591	501	345
592	502	344
593	503	343
594	503	343
595	504	342
596	505	341
597	505	340
598	506	339
599	507	338
600	507	337
601	508	336
602	509	335
603	509	334
604	510	333
605	511	332
606	511	331
607	512	330
608	513	329
609	513	328
610	514	327
611	515	326
612	516	325
613	516	324
614	517	323
615	517	322
616	518	321
617	518	320
618	519	319
619	520	318
620	521	318
621	521	317
622	522	316
623	523	315
624	523	314
625	524	313
626	524	312
627	525	311
628	526	310
629	526	309
630	527	308
631	528	307
632	528	306
633	529	305
634	530	304
635	531	303
636	531	303
637	532	302
638	533	301
639	533	300
640	534	299
641	534	298
642	535	297
643	536	296
644	537	295
645	537	294
646	538	293
647	539	292
648	539	292
649	540	291
650	541	290
651	541	289
652	542	288
653	543	287
654	543	286
655	544	285
656	545	284
657	546	283
658	546	282
659	547	281
660	548	281
661	548	280
662	549	279
663	550	278
664	551	277
665	551	276
666	552	275
667	553	274
668	553	273
669	554	272
670	554	272
671	555	271
672	556	270
673	556	269
674	557	268
675	558	267
676	558	266
677	559	265
678	560	264
679	561	264
680	561	263
681	562	262
682	563	261
683	563	260
684	564	259
685	565	258
686	566	257
687	566	256
688	567	256
689	567	255
690	568	254
691	569	253
692	569	252
693	570	251
694	571	250
695	571	249
696	572	248
697	573	248
698	573	247
699	575	246
700	576	245
701	576	244
702	577	244
703	578	243
704	579	242
705	580	241
706	580	240
707	581	239
708	582	239
709	583	238
710	584	237
711	584	236
712	585	235
713	586	234
714	587	234
715	588	233
716	588	232
717	589	231
718	590	230
719	591	230
720	592	229
721	592	228
722	594	227
723	595	226
724	595	226
725	596	225
726	597	224
727	597	223
728	598	222
729	599	221
730	599	220
731	600	219
732	600	218
733	601	218
734	602	217
735	603	216
736	603	215
737	604	214
738	605	213
739	605	212
740	606	211
741	607	211
742	607	210
743	608	209
744	609	208
745	610	207
746	610	206
747	611	206
748	612	205
749	613	204
750	614	203
751	614	202
752	615	201
753	616	201
754	617	200
755	617	199
756	618	198
757	619	197
758	619	196
759	620	195
760	621	195
761	622	194
762	623	193
763	623	192
764	624	191
765	625	191
766	626	190
767	627	189
768	627	188
769	628	187
770	629	186
771	629	186
772	630	185
773	631	184
774	631	183
775	632	182
776	633	181
777	633	180
778	634	180
779	635	179
780	635	178
781	636	177
782	637	176
783	638	175
784	638	174
785	639	174
786	640	173
787	640	172
788	641	171
789	642	170
790	642	169
791	643	168
792	643	168
793	644	167
794	645	166
795	646	165
796	646	164
797	647	163
798	648	163
799	648	162
800	649	161
801	650	160
802	650	159
803	651	158
804	652	158
805	652	157
806	653	156
807	654	155
808	655	154
809	655	153
810	656	152
811	657	152
812	658	151
813	658	150
814	659	149
815	660	148
816	660	148
817	661	147
818	662	146
819	663	145
820	663	144
821	664	143
822	665	143
823	666	142
824	666	141
825	667	140
826	668	139
827	668	138
828	669	138
829	670	137
830	670	136
831	671	135
832	672	134
833	672	133
834	673	133
835	674	132
836	675	131
837	675	130
838	676	129
839	676	128
840	677	128
841	678	127
842	678	126
843	679	125
844	680	124
845	680	123
846	681	123
847	682	122
848	682	121
849	683	120
850	684	119
851	684	118
852	685	118
853	686	117
854	687	116
855	687	115
856	688	114
857	689	114
858	689	113
859	690	112
860	691	111
861	691	110
862	692	109
863	692	109
864	693	108
865	694	107
866	695	106
867	696	105
868	696	105
869	697	104
